合约代码,更新时间,最新价,今开盘,最高价,成交量,本次结算价,买价一,买量一,买价2,买量2,卖价一,卖量一,持仓量,换手率
cu1811,10:58:54.0,53730,53960,54010,1104,1.79769e+308,53690,3,1.79769e+308,0,53730,1,25256,2.96659e+08
cu1811,10:58:56.500,53730,53960,54010,1104,1.79769e+308,53690,3,1.79769e+308,0,53740,4,25256,2.96659e+08
cu1811,10:58:59.500,53730,53960,54010,1104,1.79769e+308,53690,3,1.79769e+308,0,53740,4,25256,2.96659e+08
cu1811,10:59:00.0,53730,53960,54010,1104,1.79769e+308,53690,3,1.79769e+308,0,53740,7,25256,2.96659e+08
cu1811,10:59:00.500,53730,53960,54010,1104,1.79769e+308,53690,3,1.79769e+308,0,53740,4,25256,2.96659e+08
cu1811,10:59:01.500,53730,53960,54010,1104,1.79769e+308,53690,3,1.79769e+308,0,53740,6,25256,2.96659e+08
cu1811,10:59:02.0,53730,53960,54010,1104,1.79769e+308,53690,3,1.79769e+308,0,53740,4,25256,2.96659e+08
cu1811,10:59:04.500,53730,53960,54010,1104,1.79769e+308,53690,3,1.79769e+308,0,53740,4,25256,2.96659e+08
cu1811,10:59:05.0,53730,53960,54010,1104,1.79769e+308,53690,3,1.79769e+308,0,53740,7,25256,2.96659e+08
cu1811,10:59:12.500,53730,53960,54010,1104,1.79769e+308,53690,3,1.79769e+308,0,53740,5,25256,2.96659e+08
cu1811,10:59:13.0,53730,53960,54010,1104,1.79769e+308,53690,3,1.79769e+308,0,53740,7,25256,2.96659e+08
cu1811,10:59:19.500,53730,53960,54010,1104,1.79769e+308,53690,6,1.79769e+308,0,53740,7,25256,2.96659e+08
cu1811,10:59:29.500,53730,53960,54010,1104,1.79769e+308,53690,6,1.79769e+308,0,53740,7,25256,2.96659e+08
cu1811,10:59:30.500,53730,53960,54010,1104,1.79769e+308,53690,6,1.79769e+308,0,53740,7,25256,2.96659e+08
cu1811,10:59:34.500,53730,53960,54010,1104,1.79769e+308,53690,6,1.79769e+308,0,53740,7,25256,2.96659e+08
cu1811,11:00:50.0,53730,53960,54010,1104,1.79769e+308,53690,6,1.79769e+308,0,53740,5,25256,2.96659e+08
cu1811,11:00:50.500,53730,53960,54010,1104,1.79769e+308,53690,6,1.79769e+308,0,53740,4,25256,2.96659e+08
cu1811,11:00:56.0,53730,53960,54010,1104,1.79769e+308,53690,6,1.79769e+308,0,53740,4,25256,2.96659e+08
cu1811,11:01:06.0,53730,53960,54010,1104,1.79769e+308,53690,7,1.79769e+308,0,53740,4,25256,2.96659e+08
cu1811,11:01:15.500,53730,53960,54010,1104,1.79769e+308,53690,6,1.79769e+308,0,53740,4,25256,2.96659e+08
cu1811,11:01:16.0,53730,53960,54010,1104,1.79769e+308,53690,7,1.79769e+308,0,53740,4,25256,2.96659e+08
cu1811,11:02:04.0,53730,53960,54010,1104,1.79769e+308,53690,6,1.79769e+308,0,53740,4,25256,2.96659e+08
